Start (s),End (s),Scientific name,Common name,Confidence,File
48.0,51.0,Sturnella magna,Eastern Meadowlark,0.0687,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
78.0,81.0,Geothlypis trichas,Common Yellowthroat,0.2216,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
78.0,81.0,Sturnella magna,Eastern Meadowlark,0.0717,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
81.0,84.0,Geothlypis trichas,Common Yellowthroat,0.0666,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
93.0,96.0,Geothlypis trichas,Common Yellowthroat,0.0612,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
102.0,105.0,Geothlypis trichas,Common Yellowthroat,0.0672,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
108.0,111.0,Geothlypis trichas,Common Yellowthroat,0.0971,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
111.0,114.0,Geothlypis trichas,Common Yellowthroat,0.0674,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
117.0,120.0,Geothlypis trichas,Common Yellowthroat,0.1730,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
123.0,126.0,Geothlypis trichas,Common Yellowthroat,0.0702,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
129.0,132.0,Geothlypis trichas,Common Yellowthroat,0.0807,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
132.0,135.0,Geothlypis trichas,Common Yellowthroat,0.1500,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
138.0,141.0,Geothlypis trichas,Common Yellowthroat,0.0538,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
141.0,144.0,Geothlypis trichas,Common Yellowthroat,0.0742,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
153.0,156.0,Geothlypis trichas,Common Yellowthroat,0.0664,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
156.0,159.0,Geothlypis trichas,Common Yellowthroat,0.1121,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
162.0,165.0,Geothlypis trichas,Common Yellowthroat,0.1166,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
168.0,171.0,Geothlypis trichas,Common Yellowthroat,0.1210,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
180.0,183.0,Geothlypis trichas,Common Yellowthroat,0.0835,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
183.0,186.0,Geothlypis trichas,Common Yellowthroat,0.0695,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
186.0,189.0,Geothlypis trichas,Common Yellowthroat,0.4018,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
186.0,189.0,Spizella pusilla,Field Sparrow,0.1054,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
189.0,192.0,Geothlypis trichas,Common Yellowthroat,0.0655,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
195.0,198.0,Sturnella magna,Eastern Meadowlark,0.0521,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
246.0,249.0,Geothlypis trichas,Common Yellowthroat,0.1175,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
264.0,267.0,Geothlypis trichas,Common Yellowthroat,0.0791,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
297.0,300.0,Geothlypis trichas,Common Yellowthroat,0.0788,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
315.0,318.0,Geothlypis trichas,Common Yellowthroat,0.1353,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
336.0,339.0,Geothlypis trichas,Common Yellowthroat,0.1016,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
345.0,348.0,Geothlypis trichas,Common Yellowthroat,0.0969,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
366.0,369.0,Geothlypis trichas,Common Yellowthroat,0.1107,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
369.0,372.0,Geothlypis trichas,Common Yellowthroat,0.0830,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
375.0,378.0,Geothlypis trichas,Common Yellowthroat,0.0568,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
384.0,387.0,Geothlypis trichas,Common Yellowthroat,0.0695,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
396.0,399.0,Spizella pusilla,Field Sparrow,0.2409,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
396.0,399.0,Geothlypis trichas,Common Yellowthroat,0.2031,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
459.0,462.0,Passerina caerulea,Blue Grosbeak,0.0505,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
492.0,495.0,Spizella pusilla,Field Sparrow,0.3208,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
582.0,585.0,Spizella pusilla,Field Sparrow,0.0945,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
600.0,603.0,Spizella pusilla,Field Sparrow,0.1106,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
630.0,633.0,Spizella pusilla,Field Sparrow,0.2065,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
672.0,675.0,Spizella pusilla,Field Sparrow,0.0900,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
693.0,696.0,Spizella pusilla,Field Sparrow,0.1070,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
795.0,798.0,Geothlypis trichas,Common Yellowthroat,0.0603,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
855.0,858.0,Geothlypis trichas,Common Yellowthroat,0.2179,D:\AcousticMonitoringData\ELDON5_Data\Week23\ELDON5_20250618_204002.wav
