Start (s),End (s),Scientific name,Common name,Confidence,File
111.0,114.0,Geothlypis trichas,Common Yellowthroat,0.1303,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
117.0,120.0,Geothlypis trichas,Common Yellowthroat,0.0889,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
240.0,243.0,Spizella pusilla,Field Sparrow,0.4182,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
252.0,255.0,Geothlypis trichas,Common Yellowthroat,0.0885,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
261.0,264.0,Spizella pusilla,Field Sparrow,0.1675,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
306.0,309.0,Geothlypis trichas,Common Yellowthroat,0.0810,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
330.0,333.0,Geothlypis trichas,Common Yellowthroat,0.0772,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
339.0,342.0,Geothlypis trichas,Common Yellowthroat,0.0898,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
348.0,351.0,Geothlypis trichas,Common Yellowthroat,0.5225,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
357.0,360.0,Geothlypis trichas,Common Yellowthroat,0.2388,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
360.0,363.0,Geothlypis trichas,Common Yellowthroat,0.1233,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
369.0,372.0,Geothlypis trichas,Common Yellowthroat,0.1320,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
378.0,381.0,Geothlypis trichas,Common Yellowthroat,0.1941,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
393.0,396.0,Geothlypis trichas,Common Yellowthroat,0.0636,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
402.0,405.0,Geothlypis trichas,Common Yellowthroat,0.1187,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
411.0,414.0,Geothlypis trichas,Common Yellowthroat,0.1758,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
414.0,417.0,Geothlypis trichas,Common Yellowthroat,0.2880,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
426.0,429.0,Geothlypis trichas,Common Yellowthroat,0.0832,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
435.0,438.0,Geothlypis trichas,Common Yellowthroat,0.1672,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
444.0,447.0,Geothlypis trichas,Common Yellowthroat,0.2047,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
453.0,456.0,Geothlypis trichas,Common Yellowthroat,0.2584,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
456.0,459.0,Geothlypis trichas,Common Yellowthroat,0.0672,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
498.0,501.0,Geothlypis trichas,Common Yellowthroat,0.1073,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
507.0,510.0,Geothlypis trichas,Common Yellowthroat,0.3022,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
537.0,540.0,Geothlypis trichas,Common Yellowthroat,0.0639,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
540.0,543.0,Geothlypis trichas,Common Yellowthroat,0.0681,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
561.0,564.0,Geothlypis trichas,Common Yellowthroat,0.0698,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
612.0,615.0,Spizella pusilla,Field Sparrow,0.0662,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
768.0,771.0,Geothlypis trichas,Common Yellowthroat,0.0892,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
792.0,795.0,Geothlypis trichas,Common Yellowthroat,0.1784,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
804.0,807.0,Geothlypis trichas,Common Yellowthroat,0.2075,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
834.0,837.0,Geothlypis trichas,Common Yellowthroat,0.3074,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
843.0,846.0,Geothlypis trichas,Common Yellowthroat,0.0736,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
846.0,849.0,Geothlypis trichas,Common Yellowthroat,0.0762,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
846.0,849.0,Passerina caerulea,Blue Grosbeak,0.0572,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
855.0,858.0,Sturnella magna,Eastern Meadowlark,0.0653,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
891.0,894.0,Geothlypis trichas,Common Yellowthroat,0.3068,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
912.0,915.0,Geothlypis trichas,Common Yellowthroat,0.1006,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
987.0,990.0,Geothlypis trichas,Common Yellowthroat,0.1031,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
1053.0,1056.0,Geothlypis trichas,Common Yellowthroat,0.2303,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
1098.0,1101.0,Spizella pusilla,Field Sparrow,0.1571,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
1302.0,1305.0,Passerina caerulea,Blue Grosbeak,0.0612,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
2373.0,2376.0,Geothlypis trichas,Common Yellowthroat,0.0656,D:\AcousticMonitoringData\ELDON6_Data\Week20\ELDON6_20250531_203102.wav
