Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	18.0	21.0	0	15000	Common Yellowthroat	comyel	0.1708	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	18.0
2	Spectrogram 1	1	45.0	48.0	0	15000	Field Sparrow	fiespa	0.0762	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	45.0
3	Spectrogram 1	1	105.0	108.0	0	15000	Common Yellowthroat	comyel	0.1862	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	105.0
4	Spectrogram 1	1	1269.0	1272.0	0	15000	Upland Sandpiper	uplsan	0.0897	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1269.0
5	Spectrogram 1	1	1746.0	1749.0	0	15000	Upland Sandpiper	uplsan	0.1582	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1746.0
6	Spectrogram 1	1	1749.0	1752.0	0	15000	Upland Sandpiper	uplsan	0.0706	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1749.0
7	Spectrogram 1	1	1752.0	1755.0	0	15000	Common Yellowthroat	comyel	0.0602	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1752.0
8	Spectrogram 1	1	1773.0	1776.0	0	15000	Common Yellowthroat	comyel	0.0568	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1773.0
9	Spectrogram 1	1	1830.0	1833.0	0	15000	Common Yellowthroat	comyel	0.0940	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1830.0
10	Spectrogram 1	1	1851.0	1854.0	0	15000	Upland Sandpiper	uplsan	0.0654	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1851.0
11	Spectrogram 1	1	1935.0	1938.0	0	15000	Upland Sandpiper	uplsan	0.0843	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	1935.0
12	Spectrogram 1	1	2010.0	2013.0	0	15000	Upland Sandpiper	uplsan	0.0632	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	2010.0
13	Spectrogram 1	1	2019.0	2022.0	0	15000	Common Yellowthroat	comyel	0.0530	D:\AcousticMonitoringData\ELDON9_Data\Week17\ELDON9_20250503_200702.wav	2019.0
