Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Sturnella magna,Eastern Meadowlark,0.6468,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
0.0,3.0,Passerina caerulea,Blue Grosbeak,0.0515,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
3.0,6.0,Geothlypis trichas,Common Yellowthroat,0.0622,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
9.0,12.0,Sturnella magna,Eastern Meadowlark,0.0543,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
12.0,15.0,Sturnella magna,Eastern Meadowlark,0.3718,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
15.0,18.0,Sturnella magna,Eastern Meadowlark,0.0629,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
18.0,21.0,Geothlypis trichas,Common Yellowthroat,0.1542,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
18.0,21.0,Sturnella magna,Eastern Meadowlark,0.0668,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
24.0,27.0,Sturnella magna,Eastern Meadowlark,0.0519,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
27.0,30.0,Sturnella magna,Eastern Meadowlark,0.4127,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
42.0,45.0,Geothlypis trichas,Common Yellowthroat,0.0823,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
45.0,48.0,Sturnella magna,Eastern Meadowlark,0.0627,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
72.0,75.0,Passerina caerulea,Blue Grosbeak,0.0763,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
72.0,75.0,Sturnella magna,Eastern Meadowlark,0.0742,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
78.0,81.0,Passerina caerulea,Blue Grosbeak,0.0632,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
93.0,96.0,Sturnella magna,Eastern Meadowlark,0.0647,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
96.0,99.0,Passerina caerulea,Blue Grosbeak,0.0581,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
99.0,102.0,Sturnella magna,Eastern Meadowlark,0.0561,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
102.0,105.0,Passerina caerulea,Blue Grosbeak,0.0644,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
105.0,108.0,Sturnella magna,Eastern Meadowlark,0.1911,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
108.0,111.0,Sturnella magna,Eastern Meadowlark,0.3889,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
114.0,117.0,Sturnella magna,Eastern Meadowlark,0.0594,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
117.0,120.0,Sturnella magna,Eastern Meadowlark,0.1967,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
117.0,120.0,Passerina caerulea,Blue Grosbeak,0.0613,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
120.0,123.0,Passerina caerulea,Blue Grosbeak,0.2433,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
126.0,129.0,Passerina caerulea,Blue Grosbeak,0.0565,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
132.0,135.0,Passerina caerulea,Blue Grosbeak,0.0526,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
135.0,138.0,Sturnella magna,Eastern Meadowlark,0.1506,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
159.0,162.0,Passerina caerulea,Blue Grosbeak,0.0728,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
162.0,165.0,Sturnella magna,Eastern Meadowlark,0.3536,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
171.0,174.0,Sturnella magna,Eastern Meadowlark,0.1531,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
174.0,177.0,Sturnella magna,Eastern Meadowlark,0.3673,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
183.0,186.0,Sturnella magna,Eastern Meadowlark,0.5841,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
186.0,189.0,Sturnella magna,Eastern Meadowlark,0.0936,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
189.0,192.0,Passerina caerulea,Blue Grosbeak,0.0721,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
192.0,195.0,Sturnella magna,Eastern Meadowlark,0.4478,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
195.0,198.0,Geothlypis trichas,Common Yellowthroat,0.0611,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
198.0,201.0,Sturnella magna,Eastern Meadowlark,0.2773,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
201.0,204.0,Sturnella magna,Eastern Meadowlark,0.6282,D:\AcousticMonitoringData\ELDON2_Data\Week25\ELDON2_20250704_204102.wav
