Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Field Sparrow	fiespa	0.3639	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	0.0
2	Spectrogram 1	1	12.0	15.0	0	15000	Field Sparrow	fiespa	0.6086	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	12.0
3	Spectrogram 1	1	30.0	33.0	0	15000	Field Sparrow	fiespa	0.8003	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	30.0
4	Spectrogram 1	1	66.0	69.0	0	15000	Field Sparrow	fiespa	0.0610	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	66.0
5	Spectrogram 1	1	75.0	78.0	0	15000	Field Sparrow	fiespa	0.1846	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	75.0
6	Spectrogram 1	1	78.0	81.0	0	15000	Eastern Meadowlark	easmea	0.1023	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	78.0
7	Spectrogram 1	1	87.0	90.0	0	15000	Field Sparrow	fiespa	0.1555	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	87.0
8	Spectrogram 1	1	90.0	93.0	0	15000	Field Sparrow	fiespa	0.0645	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	90.0
9	Spectrogram 1	1	207.0	210.0	0	15000	Common Yellowthroat	comyel	0.0550	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	207.0
10	Spectrogram 1	1	231.0	234.0	0	15000	Common Yellowthroat	comyel	0.0558	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	231.0
11	Spectrogram 1	1	258.0	261.0	0	15000	Common Yellowthroat	comyel	0.0559	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	258.0
12	Spectrogram 1	1	363.0	366.0	0	15000	Field Sparrow	fiespa	0.0608	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	363.0
13	Spectrogram 1	1	519.0	522.0	0	15000	Eastern Meadowlark	easmea	0.0549	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	519.0
14	Spectrogram 1	1	564.0	567.0	0	15000	Field Sparrow	fiespa	0.5991	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	564.0
15	Spectrogram 1	1	564.0	567.0	0	15000	Eastern Meadowlark	easmea	0.0512	D:\AcousticMonitoringData\ELDON5_Data\Week17\ELDON5_20250504_200802.wav	564.0
