Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Common Yellowthroat	comyel	0.0612	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	0.0
2	Spectrogram 1	1	18.0	21.0	0	15000	Field Sparrow	fiespa	0.1426	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	18.0
3	Spectrogram 1	1	21.0	24.0	0	15000	Field Sparrow	fiespa	0.1303	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	21.0
4	Spectrogram 1	1	30.0	33.0	0	15000	Field Sparrow	fiespa	0.0563	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	30.0
5	Spectrogram 1	1	45.0	48.0	0	15000	Blue Grosbeak	blugrb1	0.0674	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	45.0
6	Spectrogram 1	1	48.0	51.0	0	15000	Field Sparrow	fiespa	0.1159	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	48.0
7	Spectrogram 1	1	72.0	75.0	0	15000	Common Yellowthroat	comyel	0.0702	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	72.0
8	Spectrogram 1	1	84.0	87.0	0	15000	Eastern Meadowlark	easmea	0.8853	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	84.0
9	Spectrogram 1	1	87.0	90.0	0	15000	Eastern Meadowlark	easmea	0.1728	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	87.0
10	Spectrogram 1	1	96.0	99.0	0	15000	Eastern Meadowlark	easmea	0.8399	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	96.0
11	Spectrogram 1	1	108.0	111.0	0	15000	Eastern Meadowlark	easmea	0.8027	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	108.0
12	Spectrogram 1	1	135.0	138.0	0	15000	Eastern Meadowlark	easmea	0.7650	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	135.0
13	Spectrogram 1	1	153.0	156.0	0	15000	Eastern Meadowlark	easmea	0.6299	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	153.0
14	Spectrogram 1	1	156.0	159.0	0	15000	Eastern Meadowlark	easmea	0.2580	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	156.0
15	Spectrogram 1	1	162.0	165.0	0	15000	Eastern Meadowlark	easmea	0.6531	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	162.0
16	Spectrogram 1	1	165.0	168.0	0	15000	Eastern Meadowlark	easmea	0.1621	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	165.0
17	Spectrogram 1	1	174.0	177.0	0	15000	Eastern Meadowlark	easmea	0.8485	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	174.0
18	Spectrogram 1	1	186.0	189.0	0	15000	Eastern Meadowlark	easmea	0.9533	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	186.0
19	Spectrogram 1	1	201.0	204.0	0	15000	Common Yellowthroat	comyel	0.1999	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	201.0
20	Spectrogram 1	1	213.0	216.0	0	15000	Common Yellowthroat	comyel	0.3647	D:\AcousticMonitoringData\ELDON3_Data\Week26\ELDON3_20250708_203902.wav	213.0
