Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Passerina caerulea,Blue Grosbeak,0.0752,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
6.0,9.0,Geothlypis trichas,Common Yellowthroat,0.0923,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
9.0,12.0,Geothlypis trichas,Common Yellowthroat,0.1385,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
18.0,21.0,Geothlypis trichas,Common Yellowthroat,0.1654,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
21.0,24.0,Geothlypis trichas,Common Yellowthroat,0.0614,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
27.0,30.0,Geothlypis trichas,Common Yellowthroat,0.1543,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
45.0,48.0,Spizella pusilla,Field Sparrow,0.0635,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
60.0,63.0,Geothlypis trichas,Common Yellowthroat,0.0750,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
63.0,66.0,Spizella pusilla,Field Sparrow,0.3286,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
66.0,69.0,Spizella pusilla,Field Sparrow,0.2168,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
84.0,87.0,Geothlypis trichas,Common Yellowthroat,0.0552,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
84.0,87.0,Spizella pusilla,Field Sparrow,0.0507,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
87.0,90.0,Spizella pusilla,Field Sparrow,0.4491,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
99.0,102.0,Geothlypis trichas,Common Yellowthroat,0.2170,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
120.0,123.0,Geothlypis trichas,Common Yellowthroat,0.2822,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
123.0,126.0,Geothlypis trichas,Common Yellowthroat,0.0678,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
132.0,135.0,Geothlypis trichas,Common Yellowthroat,0.1868,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
144.0,147.0,Geothlypis trichas,Common Yellowthroat,0.3652,D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250601_203102.wav
