Start (s),End (s),Scientific name,Common name,Confidence,File
60.0,63.0,Geothlypis trichas,Common Yellowthroat,0.0719,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
66.0,69.0,Geothlypis trichas,Common Yellowthroat,0.0995,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
69.0,72.0,Geothlypis trichas,Common Yellowthroat,0.2090,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
87.0,90.0,Geothlypis trichas,Common Yellowthroat,0.1234,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
90.0,93.0,Geothlypis trichas,Common Yellowthroat,0.7618,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
93.0,96.0,Geothlypis trichas,Common Yellowthroat,0.3283,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
99.0,102.0,Geothlypis trichas,Common Yellowthroat,0.1256,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
102.0,105.0,Geothlypis trichas,Common Yellowthroat,0.2723,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
108.0,111.0,Geothlypis trichas,Common Yellowthroat,0.2676,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
114.0,117.0,Geothlypis trichas,Common Yellowthroat,0.0899,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
120.0,123.0,Geothlypis trichas,Common Yellowthroat,0.2057,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
126.0,129.0,Geothlypis trichas,Common Yellowthroat,0.2062,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
135.0,138.0,Geothlypis trichas,Common Yellowthroat,0.0925,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
141.0,144.0,Geothlypis trichas,Common Yellowthroat,0.1385,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
147.0,150.0,Geothlypis trichas,Common Yellowthroat,0.0672,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
153.0,156.0,Geothlypis trichas,Common Yellowthroat,0.2308,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
159.0,162.0,Geothlypis trichas,Common Yellowthroat,0.1330,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
162.0,165.0,Geothlypis trichas,Common Yellowthroat,0.2548,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
168.0,171.0,Geothlypis trichas,Common Yellowthroat,0.2971,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
174.0,177.0,Geothlypis trichas,Common Yellowthroat,0.3383,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
198.0,201.0,Geothlypis trichas,Common Yellowthroat,0.1003,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
201.0,204.0,Geothlypis trichas,Common Yellowthroat,0.1009,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
204.0,207.0,Geothlypis trichas,Common Yellowthroat,0.0601,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
207.0,210.0,Geothlypis trichas,Common Yellowthroat,0.1573,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
213.0,216.0,Geothlypis trichas,Common Yellowthroat,0.2350,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
222.0,225.0,Geothlypis trichas,Common Yellowthroat,0.0542,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
237.0,240.0,Geothlypis trichas,Common Yellowthroat,0.0561,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
249.0,252.0,Geothlypis trichas,Common Yellowthroat,0.1941,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
258.0,261.0,Geothlypis trichas,Common Yellowthroat,0.1144,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
261.0,264.0,Geothlypis trichas,Common Yellowthroat,0.0530,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
264.0,267.0,Geothlypis trichas,Common Yellowthroat,0.1823,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
270.0,273.0,Geothlypis trichas,Common Yellowthroat,0.1398,E:\AcousticMonitoringData\ELDON4_Data\Week25\ELDON4_20250706_204002.wav
