Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	15000	Eastern Meadowlark	easmea	0.5712	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	3.0
2	Spectrogram 1	1	18.0	21.0	0	15000	Eastern Meadowlark	easmea	0.0523	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	18.0
3	Spectrogram 1	1	30.0	33.0	0	15000	Eastern Meadowlark	easmea	0.0149	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	30.0
4	Spectrogram 1	1	45.0	48.0	0	15000	Eastern Meadowlark	easmea	0.1598	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	45.0
5	Spectrogram 1	1	48.0	51.0	0	15000	Eastern Meadowlark	easmea	0.0151	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	48.0
6	Spectrogram 1	1	51.0	54.0	0	15000	Horned Lark	horlar	0.0103	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	51.0
7	Spectrogram 1	1	60.0	63.0	0	15000	Horned Lark	horlar	0.0103	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	60.0
8	Spectrogram 1	1	66.0	69.0	0	15000	Eastern Meadowlark	easmea	0.0142	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	66.0
9	Spectrogram 1	1	69.0	72.0	0	15000	Horned Lark	horlar	0.0114	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	69.0
10	Spectrogram 1	1	75.0	78.0	0	15000	Eastern Meadowlark	easmea	0.0102	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	75.0
11	Spectrogram 1	1	93.0	96.0	0	15000	Horned Lark	horlar	0.0145	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	93.0
12	Spectrogram 1	1	96.0	99.0	0	15000	Eastern Meadowlark	easmea	0.0116	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	96.0
13	Spectrogram 1	1	99.0	102.0	0	15000	Eastern Meadowlark	easmea	0.0425	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	99.0
14	Spectrogram 1	1	99.0	102.0	0	15000	Horned Lark	horlar	0.0181	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	99.0
15	Spectrogram 1	1	102.0	105.0	0	15000	Horned Lark	horlar	0.0497	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	102.0
16	Spectrogram 1	1	102.0	105.0	0	15000	Eastern Meadowlark	easmea	0.0268	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	102.0
17	Spectrogram 1	1	105.0	108.0	0	15000	Eastern Meadowlark	easmea	0.2124	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	105.0
18	Spectrogram 1	1	108.0	111.0	0	15000	Horned Lark	horlar	0.0120	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	108.0
19	Spectrogram 1	1	126.0	129.0	0	15000	Horned Lark	horlar	0.0106	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	126.0
20	Spectrogram 1	1	129.0	132.0	0	15000	Eastern Meadowlark	easmea	0.0216	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	129.0
21	Spectrogram 1	1	129.0	132.0	0	15000	Horned Lark	horlar	0.0105	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	129.0
22	Spectrogram 1	1	132.0	135.0	0	15000	Eastern Meadowlark	easmea	0.0140	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	132.0
23	Spectrogram 1	1	132.0	135.0	0	15000	Horned Lark	horlar	0.0136	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	132.0
24	Spectrogram 1	1	135.0	138.0	0	15000	Eastern Meadowlark	easmea	0.0205	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	135.0
25	Spectrogram 1	1	138.0	141.0	0	15000	Eastern Meadowlark	easmea	0.0184	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	138.0
26	Spectrogram 1	1	138.0	141.0	0	15000	Horned Lark	horlar	0.0179	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	138.0
27	Spectrogram 1	1	141.0	144.0	0	15000	Eastern Meadowlark	easmea	0.2104	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	141.0
28	Spectrogram 1	1	141.0	144.0	0	15000	Horned Lark	horlar	0.0154	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	141.0
29	Spectrogram 1	1	144.0	147.0	0	15000	Horned Lark	horlar	0.0149	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	144.0
30	Spectrogram 1	1	189.0	192.0	0	15000	Blue Grosbeak	blugrb1	0.0101	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	189.0
31	Spectrogram 1	1	195.0	198.0	0	15000	Common Yellowthroat	comyel	0.0481	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	195.0
32	Spectrogram 1	1	210.0	213.0	0	15000	Horned Lark	horlar	0.0219	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	210.0
33	Spectrogram 1	1	213.0	216.0	0	15000	Horned Lark	horlar	0.0187	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	213.0
34	Spectrogram 1	1	216.0	219.0	0	15000	Eastern Meadowlark	easmea	0.0186	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	216.0
35	Spectrogram 1	1	216.0	219.0	0	15000	Horned Lark	horlar	0.0183	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	216.0
36	Spectrogram 1	1	219.0	222.0	0	15000	Horned Lark	horlar	0.0111	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	219.0
37	Spectrogram 1	1	219.0	222.0	0	15000	Upland Sandpiper	uplsan	0.0109	D:/AcousticMonitoringData/ELDON1_Data/Week16\ELDON1_20250422_195602.wav	219.0
