Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Spizella pusilla,Field Sparrow,0.0521,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
87.0,90.0,Spizella pusilla,Field Sparrow,0.0715,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
105.0,108.0,Spizella pusilla,Field Sparrow,0.0859,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
126.0,129.0,Geothlypis trichas,Common Yellowthroat,0.0827,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
162.0,165.0,Geothlypis trichas,Common Yellowthroat,0.3113,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
171.0,174.0,Spizella pusilla,Field Sparrow,0.0536,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
174.0,177.0,Geothlypis trichas,Common Yellowthroat,0.1712,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
201.0,204.0,Geothlypis trichas,Common Yellowthroat,0.1936,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
243.0,246.0,Geothlypis trichas,Common Yellowthroat,0.0621,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
270.0,273.0,Geothlypis trichas,Common Yellowthroat,0.1124,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
372.0,375.0,Geothlypis trichas,Common Yellowthroat,0.0667,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
384.0,387.0,Geothlypis trichas,Common Yellowthroat,0.0995,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
411.0,414.0,Geothlypis trichas,Common Yellowthroat,0.0981,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
450.0,453.0,Geothlypis trichas,Common Yellowthroat,0.0624,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
483.0,486.0,Spizella pusilla,Field Sparrow,0.0856,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
486.0,489.0,Spizella pusilla,Field Sparrow,0.0583,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
489.0,492.0,Spizella pusilla,Field Sparrow,0.0561,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
501.0,504.0,Spizella pusilla,Field Sparrow,0.2174,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
507.0,510.0,Spizella pusilla,Field Sparrow,0.1460,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
513.0,516.0,Spizella pusilla,Field Sparrow,0.5649,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
519.0,522.0,Spizella pusilla,Field Sparrow,0.0776,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
522.0,525.0,Spizella pusilla,Field Sparrow,0.3193,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
525.0,528.0,Spizella pusilla,Field Sparrow,0.2722,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
528.0,531.0,Spizella pusilla,Field Sparrow,0.4620,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
531.0,534.0,Spizella pusilla,Field Sparrow,0.0509,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
534.0,537.0,Spizella pusilla,Field Sparrow,0.2855,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
537.0,540.0,Spizella pusilla,Field Sparrow,0.1128,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
540.0,543.0,Spizella pusilla,Field Sparrow,0.3213,D:\AcousticMonitoringData\ELDON9_Data\Week19\ELDON9_20250520_055702.wav
