Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	15.0	18.0	0	15000	Common Yellowthroat	comyel	0.0589	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	15.0
2	Spectrogram 1	1	45.0	48.0	0	15000	Field Sparrow	fiespa	0.0545	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	45.0
3	Spectrogram 1	1	51.0	54.0	0	15000	Field Sparrow	fiespa	0.0761	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	51.0
4	Spectrogram 1	1	60.0	63.0	0	15000	Field Sparrow	fiespa	0.1066	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	60.0
5	Spectrogram 1	1	78.0	81.0	0	15000	Field Sparrow	fiespa	0.2755	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	78.0
6	Spectrogram 1	1	93.0	96.0	0	15000	Field Sparrow	fiespa	0.0503	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	93.0
7	Spectrogram 1	1	96.0	99.0	0	15000	Field Sparrow	fiespa	0.2007	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	96.0
8	Spectrogram 1	1	105.0	108.0	0	15000	Field Sparrow	fiespa	0.0569	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	105.0
9	Spectrogram 1	1	138.0	141.0	0	15000	Common Yellowthroat	comyel	0.0581	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	138.0
10	Spectrogram 1	1	153.0	156.0	0	15000	Field Sparrow	fiespa	0.0597	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	153.0
11	Spectrogram 1	1	177.0	180.0	0	15000	Field Sparrow	fiespa	0.0748	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	177.0
12	Spectrogram 1	1	183.0	186.0	0	15000	Field Sparrow	fiespa	0.1541	D:\AcousticMonitoringData\ELDON6_Data\Week21\ELDON6_20250602_055002.wav	183.0
