Start (s),End (s),Scientific name,Common name,Confidence,File,Date
81,84,Geothlypis trichas,Common Yellowthroat,0.3061,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
114,117,Geothlypis trichas,Common Yellowthroat,0.5258,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
141,144,Spizella pusilla,Field Sparrow,0.3105,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
288,291,Geothlypis trichas,Common Yellowthroat,0.2549,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
309,312,Geothlypis trichas,Common Yellowthroat,0.4503,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
315,318,Geothlypis trichas,Common Yellowthroat,0.441,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
321,324,Geothlypis trichas,Common Yellowthroat,0.4214,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
348,351,Geothlypis trichas,Common Yellowthroat,0.386,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
369,372,Geothlypis trichas,Common Yellowthroat,0.4443,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
375,378,Geothlypis trichas,Common Yellowthroat,0.3247,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
381,384,Geothlypis trichas,Common Yellowthroat,0.4212,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
399,402,Geothlypis trichas,Common Yellowthroat,0.3351,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
408,411,Geothlypis trichas,Common Yellowthroat,0.3882,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
420,423,Geothlypis trichas,Common Yellowthroat,0.369,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
432,435,Geothlypis trichas,Common Yellowthroat,0.4139,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
450,453,Geothlypis trichas,Common Yellowthroat,0.2891,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
462,465,Geothlypis trichas,Common Yellowthroat,0.5343,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
465,468,Geothlypis trichas,Common Yellowthroat,0.2726,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
576,579,Spizella pusilla,Field Sparrow,0.4606,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
603,606,Geothlypis trichas,Common Yellowthroat,0.2532,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
654,657,Geothlypis trichas,Common Yellowthroat,0.3136,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
669,672,Geothlypis trichas,Common Yellowthroat,0.3106,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
675,678,Geothlypis trichas,Common Yellowthroat,0.493,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
681,684,Geothlypis trichas,Common Yellowthroat,0.3999,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
693,696,Geothlypis trichas,Common Yellowthroat,0.2581,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
741,744,Geothlypis trichas,Common Yellowthroat,0.5709,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
792,795,Geothlypis trichas,Common Yellowthroat,0.492,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
807,810,Geothlypis trichas,Common Yellowthroat,0.2566,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
822,825,Geothlypis trichas,Common Yellowthroat,0.3562,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
834,837,Geothlypis trichas,Common Yellowthroat,0.399,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
903,906,Geothlypis trichas,Common Yellowthroat,0.5203,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
915,918,Geothlypis trichas,Common Yellowthroat,0.3446,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
918,921,Geothlypis trichas,Common Yellowthroat,0.3499,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
936,939,Geothlypis trichas,Common Yellowthroat,0.2825,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
948,951,Geothlypis trichas,Common Yellowthroat,0.4333,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1041,1044,Geothlypis trichas,Common Yellowthroat,0.2972,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1137,1140,Geothlypis trichas,Common Yellowthroat,0.4674,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1176,1179,Geothlypis trichas,Common Yellowthroat,0.3392,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1182,1185,Sturnella magna,Eastern Meadowlark,0.3906,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1188,1191,Sturnella magna,Eastern Meadowlark,0.6664,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1194,1197,Sturnella magna,Eastern Meadowlark,0.3261,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1206,1209,Geothlypis trichas,Common Yellowthroat,0.4364,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1209,1212,Sturnella magna,Eastern Meadowlark,0.3861,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1230,1233,Sturnella magna,Eastern Meadowlark,0.7677,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1239,1242,Sturnella magna,Eastern Meadowlark,0.8076,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1245,1248,Sturnella magna,Eastern Meadowlark,0.6065,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1275,1278,Sturnella magna,Eastern Meadowlark,0.3471,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1284,1287,Geothlypis trichas,Common Yellowthroat,0.5078,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1287,1290,Sturnella magna,Eastern Meadowlark,0.3551,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1293,1296,Sturnella magna,Eastern Meadowlark,0.3345,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1383,1386,Geothlypis trichas,Common Yellowthroat,0.3858,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1410,1413,Sturnella magna,Eastern Meadowlark,0.3877,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1422,1425,Sturnella magna,Eastern Meadowlark,0.5627,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1431,1434,Sturnella magna,Eastern Meadowlark,0.6338,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1440,1443,Sturnella magna,Eastern Meadowlark,0.8616,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1458,1461,Sturnella magna,Eastern Meadowlark,0.5142,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1464,1467,Sturnella magna,Eastern Meadowlark,0.541,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1497,1500,Sturnella magna,Eastern Meadowlark,0.413,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1512,1515,Sturnella magna,Eastern Meadowlark,0.2726,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1518,1521,Sturnella magna,Eastern Meadowlark,0.7781,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1533,1536,Sturnella magna,Eastern Meadowlark,0.6482,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
1542,1545,Sturnella magna,Eastern Meadowlark,0.2507,D:\AcousticMonitoringData\ELDON1_Data\Week21\ELDON1_20250601_193100.wav,20250601
